ECK #,gene name,JW strain
ECK0294,YKGL,JW5033
ECK0301,YKGB,JW5038
ECK0302,YKGI,JW5039
ECK0303,YKGC,JW5040
ECK0304,YKGD,JW0298
ECK0305,YKGE,JW5041
ECK0306,YKGF,JW0300
ECK0307,YKGG,JW5042
ECK0308,YKGH,JW0302
ECK0309,BETA,JW0303
ECK0310,BETB,JW0304
ECK0311,BETI,JW0305
ECK0313,YAHA,JW0307
ECK0314,YAHB,JW0308
ECK0315,YAHC,JW0309
ECK0316,YAHD,JW0310
ECK0317,YAHE,JW0311
ECK0318,YAHF,JW0312
ECK0319,YAHG,JW0313
ECK0321,YAHI,JW0315
ECK0322,YAHJ,JW0316
ECK0323,YAHK,JW0317
ECK0324,YAHL,JW0318
ECK0325,YAHM,JW5044
ECK0326,YAHN,JW0320
ECK0327,YAHO,JW0321
ECK0328,PRPR,JW0322
ECK0329,PRPB,JW0323
ECK0330,PRPC,JW0324
ECK0331,PRPD,JW0325
ECK0332,PRPE,JW0326
ECK0333,CODB,JW0327
ECK0334,CODA,JW0328
ECK0335,CYNR,JW5894
ECK0336,CYNT,JW0330
ECK0337,CYNS,JW0331
ECK0338,CYNX,JW0332
ECK0339,LACA,JW0333
ECK0340,LACY,JW0334
ECK0342,LACI,JW0336
ECK0343,MHPR,JW0337
ECK0344,MHPA,JW0338
ECK0345,MHPB,JW0339
ECK0346,MHPC,JW0340
ECK0347,MHPD,JW0341
ECK0348,MHPF,JW0342
ECK0349,MHPE,JW0343
ECK0350,MHPT,JW5046
ECK0351,YAIL,JW0345
ECK0352,FRMB,JW0346
ECK0353,FRMA,JW0347
ECK0354,FRMR,JW0348
ECK0355,YAIO,JW0349
ECK0359,yaiF,JW5814
ECK0360,YAIP,JW0355
ECK0361,YAIS,JW0356
ECK0362,TAUA,JW0357
ECK0363,TAUB,JW0358
ECK0364,TAUC,JW0359
ECK0365,TAUD,JW0360
ECK0367,ykiB,JW5049
ECK0369,yaiU,JW5051
ECK0370,YAIV,JW0366
ECK0371,AMPH,JW5052
ECK0372,SBMA,JW0368
ECK0373,YAIW,JW0369
ECK0374,YAIY,JW0370
ECK0375,YAIZ,JW5053
ECK0376,DDLA,JW0372
ECK0378,PHOA,JW0374
ECK0379,PSIF,JW5054
ECK0381,PROC,JW0377
ECK0382,YAII,JW0378
ECK0383,AROL,JW0379
ECK0384,YAIA,JW0380
ECK0385,AROM,JW0381
ECK0386,YAIE,JW0382
ECK0388,RDGC,JW0384
ECK0389,MAK,JW0385
ECK0390,ARAJ,JW0386
ECK0391,SBCC,JW0387
ECK0392,SBCD,JW0388
ECK0393,PHOB,JW0389
ECK0394,PHOR,JW0390
ECK0395,BRNQ,JW0391
ECK0396,PROY,JW5055
ECK0397,MALZ,JW0393
ECK0399,QUEA,JW0395
ECK0400,TGT,JW0396
ECK0401,YAJC,JW0397
ECK0404,YAJD,JW0400
ECK0405,TSX,JW0401
ECK0406,YAJI,JW5056
ECK0412,PGPA,JW0408
ECK0413,YAJO,JW0409
ECK0416,XSEB,JW0412
ECK0417,THII,JW0413
ECK0418,YAJL,JW5057
ECK0419,PANE,JW0415
ECK0420,YAJQ,JW5058
ECK0421,YAJR,JW5059
ECK0422,CYOE,JW0418
ECK0423,CYOD,JW0419
ECK0424,CYOC,JW0420
ECK0425,CYOB,JW0421
ECK0426,CYOA,JW0422
ECK0427,AMPG,JW0423
ECK0428,YAJG,JW0424
ECK0429,BOLA,JW5060
ECK0430,TIG,JW0426
ECK0431,CLPP,JW0427
ECK0432,CLPX,JW0428
ECK0433,LON,JW0429
ECK0434,HUPB,JW0430
ECK0435,PPID,JW0431
ECK0436,YBAV,JW0432
ECK0437,YBAW,JW0433
ECK0439,YBAE,JW0435
ECK0440,COF,JW0436
ECK0441,YBAO,JW0437
ECK0442,MDLA,JW0438
ECK0443,MDLB,JW5061
ECK0444,GLNK,JW0440
ECK0445,AMTB,JW0441
ECK0446,TESB,JW0442
ECK0447,YBAY,JW0443
ECK0448,YBAZ,JW0444
ECK0450,YBAA,JW0445
ECK0451,YLAB,JW5062
ECK0452,YLAC,JW5063
ECK0453,MAA,JW0448
ECK0454,HHA,JW0449
ECK0456,ACRB,JW0451
ECK0457,ACRA,JW0452
ECK0458,ACRR,JW0453
ECK0459,KEFA,JW0454
ECK0460,YBAM,JW0455
ECK0461,PRIC,JW0456
ECK0462,YBAN,JW0457
ECK0463,APT,JW0458
ECK0465,YBAB,JW0460
ECK0466,RECR,JW0461
ECK0467,HTPG,JW0462
ECK0470,AES,JW0465
ECK0471,GSK,JW0466
ECK0472,YBAL,JW0467
ECK0473,FSR,JW0468
ECK0474,USHA,JW0469
ECK0475,YBAK,JW0470
ECK0476,YBAP,JW0471
ECK0477,YBAQ,JW0472
ECK0478,COPA,JW0473
ECK0479,YBAS,JW0474
ECK0480,YBAT,JW0475
ECK0481,CUER,JW0476
ECK0482,YBBJ,JW5065
ECK0484,YBBL,JW0479
ECK0485,YBBM,JW5066
ECK0486,YBBN,JW5067
ECK0487,YBBO,JW0482
ECK0488,TESA,JW0483
ECK0489,YBBA,JW0484
ECK0490,YBBP,JW0485
ECK0491,RHSD,JW0486
ECK0492,YBBC,JW0487
ECK0496,YBBB,JW0491
ECK0498,ALLA,JW0493
ECK0499,ALLR,JW0494
ECK0500,GCL,JW0495
ECK0501,HYI,JW0496
ECK0502,GLXR,JW0497
ECK0503,ybbV,JW0498
ECK0504,YBBW,JW0499
ECK0505,ALLB,JW0500
ECK0506,YBBY,JW0501
ECK0507,GLXK,JW0502
ECK0508,YLBA,JW0503
ECK0509,ALLC,JW0504
ECK0510,ALLD,JW0505
ECK0511,FDRA,JW0506
ECK0514,YBCF,JW0510
ECK0515,PURK,JW0511
ECK0516,PURE,JW0512
ECK0518,PPIB,JW0514
ECK0520,YBCI,JW0516
ECK0521,YBCJ,JW5070
ECK0523,SFMA,JW0519
ECK0524,SFMC,JW0520
ECK0525,SFMD,JW0521
ECK0526,SFMH,JW5071
ECK0527,SFMF,JW5072
ECK0528,FIMZ,JW5073
ECK0530,INTD,JW0525
ECK0534,EMRE,JW0531
ECK0535,YBCK,JW0532
ECK0536,YBCL,JW0533
ECK0537,YBCM,JW0534
ECK0538,YBCN,JW0535
ECK0539,NINE,JW0536
ECK0540,YBCO,JW0537
ECK0541,RUSA,JW0538
ECK0542,YLCG,JW5076
ECK0545,ESSD,JW0543
ECK0547,RZPD,JW5079
ECK0548,RZOD,JW5080
ECK0549,BORD,JW0546
ECK0550,YBCV,JW5081
ECK0551,YBCW,JW0548
ECK0556,APPY,JW0553
ECK0557,OMPT,JW0554
ECK0558,ENVY,JW0555
ECK0559,YBCH,JW0556
ECK0560,NFRA,JW0557
ECK0561,NFRB,JW0558
ECK0562,CUSS,JW5082
ECK0563,CUSR,JW0560
ECK0564,CUSC,JW0561
ECK0565,CUSF,JW0562
ECK0566,CUSB,JW0563
ECK0567,CUSA,JW0564
ECK0568,PHEP,JW0565
ECK0569,YBDG,JW0566
ECK0571,YBDF,JW5083
ECK0572,YBDJ,JW0569
ECK0573,YBDK,JW0570
ECK0574,HOKE,JW5084
ECK0576,FEPA,JW5086
ECK0577,FES,JW0576
ECK0578,YBDZ,JW0577
ECK0579,ENTF,JW0578
ECK0580,FEPE,JW0579
ECK0581,FEPC,JW0580
ECK0582,FEPG,JW0581
ECK0583,FEPD,JW0582
ECK0585,FEPB,JW0584
ECK0586,ENTC,JW0585
ECK0587,ENTE,JW0586
ECK0588,ENTB,JW0587
ECK0589,ENTA,JW0588
ECK0591,CSTA,JW0590
ECK0592,YBDD,JW0591
ECK0593,YBDH,JW0592
ECK0594,YBDL,JW0593
ECK0595,YBDM,JW0594
ECK0596,YBDN,JW0595
ECK0597,YBDO,JW0596
ECK0598,DSBG,JW0597
ECK0599,AHPC,JW0598
ECK0600,AHPF,JW0599
ECK0601,USPG,JW0600
ECK0602,YBDR,JW0601
ECK0603,RNK,JW0602
ECK0604,RNA,JW0603
ECK0605,CITT,JW0604
ECK0606,CITG,JW0605
ECK0607,CITX,JW0606
ECK0608,CITF,JW5087
ECK0609,CITE,JW0608
ECK0610,CITD,JW0609
ECK0611,CITC,JW0610
ECK0616,CSPE,JW0618
ECK0617,CRCB,JW0619
ECK0619,ybeM,JW0621
ECK0620,TATE,JW0622
ECK0621,LIPA,JW0623
ECK0622,YBEF,JW0624
ECK0623,LIPB,JW5089
ECK0624,YBED,JW0626
ECK0625,DACA,JW0627
ECK0626,RLPA,JW0628
ECK0630,YBEB,JW5090
ECK0631,COBC,JW0633
ECK0636,YBEL,JW0638
ECK0637,YBEQ,JW5091
ECK0638,YBER,JW0640
ECK0640,YBET,JW0642
ECK0641,YBEU,JW0643
ECK0642,DJLC,JW0644
ECK0643,HSCC,JW0645
ECK0644,RIHA,JW0646
ECK0645,GLTL,JW0647
ECK0646,GLTK,JW0648
ECK0647,GLTJ,JW0649
ECK0648,GLTI,JW5092
ECK0650,YBEX,JW0655
ECK0651,YBEY,JW0656
ECK0652,YBEZ,JW0657
ECK0653,MIAB,JW0658
ECK0654,UBIF,JW0659
ECK0662,ASNB,JW0660
ECK0663,NAGD,JW0661
ECK0664,NAGC,JW0662
ECK0665,NAGA,JW0663
ECK0666,NAGB,JW0664
ECK0667,NAGE,JW0665
ECK0669,YBFM,JW0667
ECK0670,YBFN,JW0668
ECK0671,FUR,JW0669
ECK0673,YBFE,JW5816
ECK0674,YBFF,JW0673
ECK0675,SEQA,JW0674
ECK0676,PGM,JW0675
ECK0677,YBFP,JW0676
ECK0679,ybfH,JW5095
ECK0680,POTE,JW0679
ECK0681,SPEF,JW0680
ECK0682,KDPE,JW5096
ECK0683,KDPD,JW0683
ECK0684,KDPC,JW0684
ECK0685,KDPB,JW0685
ECK0686,KDPA,JW0686
ECK0687,KDPF,JW0687
ECK0688,YBFA,JW0688
ECK0690,YBFB,JW0691
ECK0692,YBFC,JW0693
ECK0695,YBFD,JW0696
ECK0696,YBGA,JW0697
ECK0697,PHR,JW0698
ECK0698,YBGH,JW0699
ECK0699,YBGI,JW0700
ECK0700,YBGJ,JW0701
ECK0701,YBGK,JW0702
ECK0702,YBGL,JW0703
ECK0703,NEI,JW0704
ECK0704,ABRB,JW5097
ECK0705,YBGO,JW5098
ECK0706,YBGP,JW0707
ECK0707,YBGQ,JW5099
ECK0708,YBGD,JW0709
ECK0709,GLTA,JW0710
ECK0710,SDHC,JW0711
ECK0711,SDHD,JW0712
ECK0712,SDHA,JW0713
ECK0713,SDHB,JW0714
ECK0714,SUCA,JW0715
ECK0716,SUCC,JW0717
ECK0717,SUCD,JW0718
ECK0718,MNGR,JW0719
ECK0719,MNGA,JW0720
ECK0720,MNGB,JW0721
ECK0722,CYDB,JW0723
ECK0723,YBGT,JW0724
ECK0724,YBGE,JW0725
ECK0725,YBGC,JW0726
ECK0726,TOLQ,JW0727
ECK0727,TOLR,JW0728
ECK0728,TOLA,JW0729
ECK0729,TOLB,JW5100
ECK0730,PAL,JW0731
ECK0731,YBGF,JW0732
ECK0739,NADA,JW0733
ECK0740,PNUC,JW0734
ECK0741,ZITB,JW5101
ECK0742,YBGS,JW0736
ECK0743,AROG,JW0737
ECK0744,GPMA,JW0738
ECK0745,GALM,JW0739
ECK0746,GALK,JW0740
ECK0747,GALT,JW0741
ECK0748,GALE,JW0742
ECK0749,MODF,JW0743
ECK0750,MODE,JW0744
ECK0751,YBHT,JW5102
ECK0752,MODA,JW0746
ECK0753,MODB,JW0747
ECK0754,MODC,JW0748
ECK0755,YBHA,JW0749
ECK0757,YBHD,JW5896
ECK0758,YBHH,JW0752
ECK0759,YBHI,JW0753
ECK0760,YBHJ,JW5103
ECK0761,YBHC,JW0755
ECK0762,YBHB,JW0756
ECK0763,BIOA,JW0757
ECK0764,BIOB,JW0758
ECK0765,BIOF,JW0759
ECK0766,BIOC,JW0760
ECK0767,BIOD,JW0761
ECK0768,UVRB,JW0762
ECK0769,YBHK,JW0763
ECK0770,MOAA,JW0764
ECK0772,MOAC,JW0766
ECK0773,MOAD,JW0767
ECK0774,MOAE,JW0768
ECK0775,YBHL,JW0769
ECK0776,YBHM,JW0770
ECK0777,YBHN,JW0771
ECK0778,YBHO,JW0772
ECK0779,YBHP,JW0773
ECK0780,YBHQ,JW0774
ECK0781,YBHR,JW5803
ECK0782,YBHS,JW0777
ECK0783,YBHF,JW5104
ECK0784,YBHG,JW0779
ECK0785,YBIH,JW0780
ECK0786,RHLE,JW0781
ECK0787,YBIA,JW0783
ECK0788,DING,JW0784
ECK0789,YBIB,JW0785
ECK0790,YBIC,JW0786
ECK0791,YBIJ,JW0787
ECK0792,YBII,JW0788
ECK0793,YBIX,JW5105
ECK0794,FIU,JW0790
ECK0797,YBIO,JW5108
ECK0798,GLNQ,JW0794
ECK0799,GLNP,JW0795
ECK0800,GLNH,JW0796
ECK0801,DPS,JW0797
ECK0802,RHTA,JW0798
ECK0803,OMPX,JW0799
ECK0804,YBIP,JW0800
ECK0807,MNTR,JW0801
ECK0808,YBIR,JW0802
ECK0809,YBIS,JW0803
ECK0810,YBIT,JW0804
ECK0811,YBIU,JW0805
ECK0812,YBIV,JW0806
ECK0813,YBIW,JW0807
ECK0814,YBIY,JW0808
ECK0815,FSAA,JW5109
ECK0817,MOEA,JW0811
ECK0818,IAAA,JW0812
ECK0823,YLIE,JW0817
ECK0824,YLIF,JW0818
ECK0827,YLII,JW0821
ECK0828,YLIJ,JW0822
ECK0829,DACC,JW0823
ECK0830,DEOR,JW0824
ECK0831,YBJG,JW5112
ECK0832,CMR,JW0826
ECK0833,YBJH,JW0827
ECK0834,YBJI,JW5113
ECK0835,YBJJ,JW0829
ECK0836,YBJK,JW5114
ECK0838,YBJL,JW0831
ECK0839,YBJM,JW0832
ECK0840,GRXA,JW0833
ECK0841,YBJC,JW0834
ECK0842,NFSA,JW0835
ECK0843,RIMK,JW0836
ECK0844,YBJN,JW0837
ECK0845,POTF,JW0838
ECK0846,POTG,JW5818
ECK0847,POTH,JW0840
ECK0848,POTI,JW0841
ECK0849,YBJO,JW0842
ECK0850,RUMB,JW0843
ECK0851,ARTJ,JW0844
ECK0852,ARTM,JW0845
ECK0853,ARTQ,JW0846
ECK0854,ARTI,JW0847
ECK0855,ARTP,JW0848
ECK0856,YBJP,JW0849
ECK0857,YBJQ,JW0850
ECK0859,YBJS,JW5819
ECK0860,YBJT,JW5116
ECK0861,LTAE,JW0854
ECK0862,POXB,JW0855
ECK0863,HCR,JW5117
ECK0864,HCP,JW0857
ECK0865,YBJE,JW0858
ECK0866,AQPZ,JW0859
ECK0867,YBJD,JW0860
ECK0868,YBJX,JW0861
ECK0869,MACA,JW0862
ECK0870,MACB,JW0863
ECK0871,CSPD,JW0864
ECK0872,CLPS,JW0865
ECK0873,CLPA,JW0866
ECK0876,AAT,JW0868
ECK0878,CYDD,JW0870
ECK0879,TRXB,JW0871
ECK0880,LRP,JW0872
ECK0885,DMSA,JW5118
ECK0886,DMSB,JW0878
ECK0887,DMSC,JW0879
ECK0888,YCAC,JW0880
ECK0889,YCAD,JW0881
ECK0890,YCAM,JW5119
ECK0891,YCAN,JW0883
ECK0892,YCAK,JW0884
ECK0893,PFLA,JW0885
ECK0894,PFLB,JW0886
ECK0895,FOCA,JW0887
ECK0896,YCAO,JW0888
ECK0897,YCAP,JW0889
ECK0898,SERC,JW0890
ECK0899,AROA,JW0891
ECK0900,YCAL,JW0892
ECK0901,CMK,JW0893
ECK0903,IHFB,JW0895
ECK0904,YCAI,JW5120
ECK0907,YCAQ,JW0899
ECK0908,YCAR,JW0900
ECK0910,YCBJ,JW0902
ECK0911,YCBC,JW0903
ECK0912,SMTA,JW0904
ECK0916,YCBB,JW0908
ECK0917,YCBK,JW0909
ECK0918,YCBL,JW0910
ECK0919,ASPC,JW0911
ECK0920,OMPF,JW0912
ECK0922,PNCB,JW0914
ECK0923,PEPN,JW0915
ECK0924,SSUB,JW0916
ECK0925,SSUC,JW5121
ECK0926,SSUD,JW0918
ECK0927,SSUA,JW0919
ECK0928,SSUE,JW0920
ECK0929,YCBQ,JW5122
ECK0930,YCBR,JW0922
ECK0931,YCBS,JW0923
ECK0932,YCBT,JW0924
ECK0933,YCBU,JW0925
ECK0934,YCBV,JW5123
ECK0935,YCBF,JW5124
ECK0936,PYRD,JW0928
ECK0937,YCBW,JW5125
ECK0938,YCBX,JW5126
ECK0940,UUP,JW0932
ECK0941,PQIA,JW0933
ECK0942,PQIB,JW0934
ECK0943,YMBA,JW5127
ECK0944,RMF,JW0936
ECK0946,YCBZ,JW0938
ECK0947,YCBG,JW0939
ECK0948,OMPA,JW0940
ECK0949,SULA,JW0941
ECK0951,YCCS,JW5128
ECK0952,YCCF,JW0944
ECK0953,HELD,JW0945
ECK0954,MGSA,JW5129
ECK0955,YCCT,JW0947
ECK0956,YCCU,JW5130
ECK0958,YCCW,JW5898
ECK0959,YCCX,JW5131
ECK0960,YCCK,JW0952
ECK0961,YCCA,JW0953
ECK0963,HYAA,JW0954
ECK0964,HYAB,JW0955
ECK0965,HYAC,JW0956
ECK0966,HYAD,JW0957
ECK0967,HYAE,JW0958
ECK0968,HYAF,JW0959
ECK0969,APPC,JW0960
ECK0970,APPB,JW0961
ECK0971,APPA,JW0963
ECK0973,ETP,JW5132
ECK0979,CSPH,JW5134
ECK0980,CSPG,JW0974
ECK0981,YMCE,JW0975
ECK0982,GNSA,JW0976
ECK0983,YCCM,JW0977
ECK0984,TORS,JW5135
ECK0985,TORT,JW0979
ECK0986,TORR,JW0980
ECK0987,TORC,JW0981
ECK0988,TORA,JW0982
ECK0989,TORD,JW0983
ECK0990,CBPM,JW0984
ECK0991,CBPA,JW0985
ECK0992,YCCE,JW0986
ECK0993,AGP,JW0987
ECK0994,YCCJ,JW0988
ECK0995,WRBA,JW0989
ECK0996,YMDF,JW5136
ECK1005,PUTA,JW0999
ECK1006,PUTP,JW1001
ECK1010,PHOH,JW1005
ECK1015,YCDT,JW5143
ECK1017,YCDU,JW1015
ECK1020,YCDX,JW1017
ECK1021,YCDY,JW1018
ECK1022,YCDZ,JW5147
ECK1023,CSGG,JW1020
ECK1024,CSGF,JW1021
ECK1025,CSGE,JW1022
ECK1026,CSGD,JW1023
ECK1027,CSGB,JW1024
ECK1028,CSGA,JW1025
ECK1029,CSGC,JW1026
ECK1030,YMDA,JW1031
ECK1031,YMDB,JW1032
ECK1032,YMDC,JW5150
ECK1033,MDOC,JW1034
ECK1034,MDOG,JW1035
ECK1035,MDOH,JW1037
ECK1036,YCEK,JW5151
ECK1037,MSYB,JW1039
ECK1038,MDTG,JW1040
ECK1039,LPXL,JW1041
ECK1040,YCEA,JW1042
ECK1041,YCEI,JW1043
ECK1042,YCEJ,JW1044
ECK1043,YCEO,JW1045
ECK1044,SOLA,JW1046
ECK1046,DINI,JW1048
ECK1047,PYRC,JW1049
ECK1048,YCEB,JW1050
ECK1049,GRXB,JW1051
ECK1050,MDTH,JW1052
ECK1051,RIMJ,JW1053
ECK1052,YCEH,JW1054
ECK1055,FLGN,JW1057
ECK1058,FLGB,JW1060
ECK1059,FLGC,JW1061
ECK1060,FLGD,JW1062
ECK1061,FLGE,JW1063
ECK1062,FLGF,JW1064
ECK1063,FLGG,JW1065
ECK1064,FLGH,JW5153
ECK1065,FLGI,JW1067
ECK1066,FLGJ,JW1068
ECK1067,FLGK,JW1069
ECK1068,FLGL,JW1070
ECK1071,RLUC,JW5154
ECK1072,YCEF,JW1072
ECK1074,YCED,JW1074
ECK1075,RPMF,JW1075
ECK1076,PLSX,JW5156
ECK1077,FABH,JW1077
ECK1081,FABF,JW1081
ECK1082,PABC,JW1082
ECK1083,YCEG,JW1083
ECK1086,YCFH,JW1086
ECK1087,PTSG,JW1087
ECK1088,FHUE,JW1088
ECK1089,HINT,JW1089
ECK1090,YCFL,JW1090
ECK1091,YCFM,JW5157
ECK1093,NAGZ,JW1093
ECK1094,YCFP,JW5158
ECK1095,NDH,JW1095
ECK1096,YCFJ,JW1096
ECK1097,YCFQ,JW5159
ECK1099,YCFS,JW5820
ECK1100,MFD,JW1100
ECK1101,YCFT,JW1101
ECK1106,COBB,JW1106
ECK1107,YCFZ,JW1107
ECK1108,YMFA,JW5164
ECK1109,POTD,JW1109
ECK1110,POTC,JW1110
ECK1111,POTB,JW1111
ECK1112,POTA,JW1112
ECK1113,PEPT,JW1113
ECK1114,YCFD,JW1114
ECK1115,PHOQ,JW1115
ECK1116,PHOP,JW1116
ECK1118,HFLD,JW5165
ECK1122,ICD,JW1122
ECK1123,YMFD,JW1123
ECK1124,YMFE,JW5166
ECK1125,LIT,JW1125
ECK1126,INTE,JW1126
ECK1129,YMFI,JW5168
ECK1130,YMFJ,JW1130
ECK1133,YMFL,JW1133
ECK1134,YMFM,JW1134
ECK1135,YMFN,JW1135
ECK1136,YMFR,JW1136
ECK1139,YMFQ,JW1139
ECK1140,YCFK,JW1140
ECK1142,TFAE,JW1142
ECK1145,MCRA,JW1145
ECK1148,YCGX,JW1148
ECK1149,YCGE,JW1149
ECK1150,YCGF,JW1150
ECK1151,YCGZ,JW1151
ECK1152,YMGA,JW1152
ECK1154,YMGC,JW1154
ECK1155,YCGG,JW5174
ECK1156,YMGF,JW1156
ECK1158,YMGD,JW5177
ECK1159,ymgG,JW5178
ECK1160,ymgH,JW5179
ECK1164,MINC,JW1165
ECK1165,YCGJ,JW1166
ECK1166,YCGK,JW1167
ECK1167,YCGL,JW1168
ECK1168,YCGM,JW1169
ECK1169,YCGN,JW5180
ECK1170,HLYE,JW5181
