strain1 strain2 Pearson.Correlation.Coefficient.x pcc_TF
1461 1685 0.921196747040027 0
1286 1848 0.920913136966586 0
1377 1381 0.920526509421061 0
1286 1685 0.920442192687688 0
1461 1774 0.920276958759079 0
1848 3002 0.920197340445089 0
1561 1653 0.920130386735693 0
1653 1848 0.920032083423004 0
1377 1848 0.919886198812169 0
1381 1593 0.919819096864203 0
1381 1685 0.919748478264511 0
1739 1856 0.919328941617421 0
1203 3562 0.919327001440388 0
1593 3002 0.919286201729015 1
1377 1461 0.919092159820141 0
1286 1774 0.919018414801709 0
3061 3562 0.918777163620035 1
1417 3061 0.91865664784646 0
1377 1685 0.918094875086003 0
1653 1774 0.918017119430125 0
1286 1322 0.917656691630288 0
1417 1593 0.91743936974758 0
1685 1856 0.917062721759592 0
1856 2886 0.91698591721182 1
1653 1685 0.91683175945323 0
1377 1653 0.916654889006656 0
1561 1767 0.916641228517459 0
859 1377 0.916522437376376 0
1653 2886 0.916480620102191 0
1848 3562 0.916064055937976 0
1649 1856 0.91600331755029 0
1381 3562 0.915911663112412 0
1417 1774 0.915641874801659 0
1461 3002 0.915620626186169 0
1286 3002 0.915510099845332 0
1593 1649 0.91543645298605 1
1774 3061 0.91540526181603 0
1848 1856 0.915251752381382 0
859 1417 0.915144949938314 1
1203 1286 0.915050775168845 0
1314 2886 0.915028953282252 0
2234 3107 0.914818349966724 0
1314 1848 0.914795781736682 0
1984 2618 0.914753168874315 1
859 3107 0.914600517297139 1
1381 3671 0.91455048200671 0
1203 1848 0.914360977183234 0
1685 1767 0.914158439385944 0
1203 3002 0.913951831072984 0
1322 3107 0.913788754289573 1
1561 1848 0.913395939669776 0
1759 1848 0.913336010870985 1
456 3562 0.913302762329087 0
1653 3107 0.91327302775517 0
1649 3562 0.913183132446213 1
1593 3107 0.913077570647265 0
1561 3002 0.913039135215414 1
1381 1417 0.912640051368489 0
1759 2234 0.912471696903733 1
456 1774 0.912341950816161 0
259 328 0.912309055276858 1
1203 1856 0.912090349963253 0
1593 1848 0.911873664890287 0
1593 3061 0.911873394440204 1
1377 3671 0.91186286028609 0
1322 1774 0.911816148981997 0
1203 1649 0.911740920564047 0
1286 1739 0.911694690730559 0
1585 1767 0.9116777075937 0
1759 3002 0.911634990190286 0
456 1203 0.911578448452051 0
1417 2234 0.91140820711304 0
1759 2147 0.911370144905936 1
859 3061 0.911330601658755 0
456 1593 0.910825929440268 0
1322 1685 0.910760199765735 0
1774 3002 0.910691807176418 0
1381 1649 0.910628108073905 0
1417 2147 0.910256727388303 0
456 1856 0.910122579596386 0
1653 3002 0.910093220027098 0
1203 1593 0.909822039960782 1
1417 1685 0.909698710241976 0
1314 3671 0.909696673098484 0
859 1381 0.909695066867927 0
1314 1561 0.909577197375867 0
1767 3107 0.909323962799437 1
456 859 0.909239795295584 1
1488 1669 0.90891289041777 1
1685 3107 0.908857253106073 0
859 1653 0.908790093400726 0
1322 1377 0.90869760371188 0
311 859 0.908589557329215 0
1286 3107 0.908471848785324 0
2170 2217 0.908401286482402 1
1739 1774 0.908326388472379 0
1561 1649 0.907627256918112 1
1767 1774 0.907381189862305 0
456 1649 0.907071789465253 0
1314 2234 0.907062662138966 0
1377 1561 0.907022024188261 0
1377 1759 0.907009861045568 0
1848 2147 0.906886169507784 1
1569 1658 0.906767108865729 1
1649 3002 0.90671531882283 1
2886 3107 0.906601258375778 0
1767 3671 0.906577978608117 1
1286 1461 0.906568472279854 0
1848 2234 0.906514244477467 1
1417 1767 0.906457296502376 1
456 1653 0.906277325159154 0
1848 3107 0.906152766091074 0
1685 3061 0.905881471620896 1
1593 1739 0.905683421502665 1
1561 1685 0.905675421392633 1
