strain1 strain1_gene_names strain2 strain2_gene_names Pearson.Correlation.Coefficient.x pcc_TF
1856 lysA 3107 argB 0.905413709652987 0
1649 leuC 2886 thrC 0.905215570243515 0
1286 proB 2886 thrC 0.905176650444924 0
311 metR 1767 argA 0.904935103054575 0
1314 serA 2147 hisB 0.904684647402387 0
859 argG 1561 leuD 0.904597117635812 0
1381 proA 2234 hisA 0.904560696177217 0
456 argC 1767 argA 0.90441093555055 1
859 argG 1461 metF 0.904401990673859 0
1561 leuD 3107 argB 0.904369160912743 0
1774 metE 1848 hisI 0.904332884556402 0
3061 ilvC 3671 carA 0.904294352649277 0
859 argG 1856 lysA 0.904235803290122 0
1322 argE 3002 ilvD 0.904228650226296 0
1381 proA 1848 hisI 0.903965815532763 0
456 argC 1286 proB 0.903936749860161 0
2234 hisA 3671 carA 0.903722335972915 1
859 argG 1848 hisI 0.903324621243999 0
1377 thrB 2886 thrC 0.903260521796028 1
1381 proA 3061 ilvC 0.902981967643931 0
3107 argB 3671 carA 0.902946120597987 1
1322 argE 1593 ilvE 0.902793023822943 0
1561 leuD 3562 leuB 0.902792447468906 1
88 nuoK 92 nuoA 0.902692835766306 1
1848 hisI 3061 ilvC 0.902536751772894 0
311 metR 1314 serA 0.902392424888628 0
456 argC 1314 serA 0.902259557035851 0
2886 thrC 3562 leuB 0.902047966382457 0
456 argC 3002 ilvD 0.901907328831396 0
1286 proB 1381 proA 0.90183417273889 1
1417 argH 1848 hisI 0.901774334515916 0
1767 argA 3061 ilvC 0.90150131825842 0
1322 argE 3061 ilvC 0.901201718889732 0
1649 leuC 1848 hisI 0.901148341159987 0
527 nuoM 530 nuoE 0.901136806633841 1
1314 serA 1739 leuA 0.900902568391942 0
2147 hisB 3562 leuB 0.900890147465399 0
1685 ilvA 3002 ilvD 0.900863746844564 1
1417 argH 1653 proC 0.900661537335161 0
1203 trpB 1377 thrB 0.900308488774175 0
1685 ilvA 2886 thrC 0.900290228985435 0
1377 thrB 2147 hisB 0.899840161784602 0
1649 leuC 1685 ilvA 0.899776735073256 1
1767 argA 2886 thrC 0.89953565090716 0
1593 ilvE 2886 thrC 0.899248946260524 0
1653 proC 1759 hisF 0.899091713971208 0
1377 thrB 1856 lysA 0.898785298515183 1
3538 thrA 3562 leuB 0.898654178666283 0
146 mrcB 3219 ycfM 0.89832721562672 1
1417 argH 2886 thrC 0.898166746251799 0
1461 metF 2234 hisA 0.897679432596676 0
2217 pyrD 2307 pyrC 0.897425298371851 1
1477 aroA 1581 aroC 0.896963845174722 1
1774 metE 2886 thrC 0.896938828879244 1
1381 proA 3107 argB 0.896161637536768 0
1561 leuD 3061 ilvC 0.896086021198576 1
456 argC 1377 thrB 0.895855387205743 0
2170 purD 2342 purM 0.895733316468965 1
1322 argE 1381 proA 0.895676057964219 0
1417 argH 3671 carA 0.89563504740107 1
859 argG 1286 proB 0.895446426099181 0
1739 leuA 3562 leuB 0.895082089403656 1
1286 proB 3061 ilvC 0.895057216519707 0
1593 ilvE 2234 hisA 0.895055012090543 0
1203 trpB 1381 proA 0.895031947415214 0
1585 tyrA 1649 leuC 0.894540022686842 0
1286 proB 1417 argH 0.89452759492193 0
1461 metF 1653 proC 0.894500043873122 0
1203 trpB 1314 serA 0.894392545455221 0
1649 leuC 1739 leuA 0.89427391753429 1
456 argC 1322 argE 0.8941668302558 1
1739 leuA 1767 argA 0.893746299197079 0
1381 proA 1561 leuD 0.893656484014823 0
1203 trpB 1585 tyrA 0.893655762342014 1
1848 hisI 2886 thrC 0.89339369515352 0
1203 trpB 1417 argH 0.893351651092905 0
