OMP_ST:71097_!_Escherichia coli K-12 BW25113 ribB::SPA-kan
OMP_ST:71098_!_Escherichia coli K-12 BW25113 cca::SPA-kan
OMP_ST:71099_!_Escherichia coli K-12 BW25113 ygjD::SPA-kan
OMP_ST:71100_!_Escherichia coli K-12 BW25113 rpoD::SPA-kan
OMP_ST:71101_!_Escherichia coli K-12 BW25113 yraL::SPA-kan
OMP_ST:71102_!_Escherichia coli K-12 BW25113 yhbV::SPA-kan
OMP_ST:71103_!_Escherichia coli K-12 BW25113 ftsH::SPA-kan
OMP_ST:71104_!_Escherichia coli K-12 BW25113 obgE::SPA-kan
OMP_ST:71105_!_Escherichia coli K-12 BW25113 murA::SPA-kan
OMP_ST:71106_!_Escherichia coli K-12 BW25113 lptA::SPA-kan
OMP_ST:71107_!_Escherichia coli K-12 BW25113 mreB::SPA-kan
OMP_ST:71108_!_Escherichia coli K-12 BW25113 def::SPA-kan
OMP_ST:71109_!_Escherichia coli K-12 BW25113 rpsE::SPA-kan
OMP_ST:71110_!_Escherichia coli K-12 BW25113 rplD::SPA-kan
OMP_ST:71111_!_Escherichia coli K-12 BW25113 fusA::SPA-kan
OMP_ST:71112_!_Escherichia coli K-12 BW25113 trpS::SPA-kan
OMP_ST:71113_!_Escherichia coli K-12 BW25113 rpoH::SPA-kan
OMP_ST:71114_!_Escherichia coli K-12 BW25113 ftsX::SPA-kan
OMP_ST:71115_!_Escherichia coli K-12 BW25113 ftsE::SPA-kan
OMP_ST:71116_!_Escherichia coli K-12 BW25113 yhjD+-kan
OMP_ST:71117_!_Escherichia coli K-12 BW25113 glyQ::SPA-kan
OMP_ST:71118_!_Escherichia coli K-12 BW25113 kdtA::SPA
OMP_ST:71119_!_Escherichia coli K-12 BW25113 kdtA(E234V)-kan
OMP_ST:71120_!_Escherichia coli K-12 BW25113 kdtA+-kan
OMP_ST:71121_!_Escherichia coli K-12 BW25113 dut::SPA-kan
OMP_ST:71122_!_Escherichia coli K-12 BW25113 dnaA::SPA-kan
OMP_ST:71123_!_Escherichia coli K-12 BW25113 rnpA::SPA-kan
OMP_ST:71124_!_Escherichia coli K-12 BW25113 yidC::SPA-kan
OMP_ST:71125_!_Escherichia coli K-12 BW25113 glmS::SPA-kan
OMP_ST:71126_!_Escherichia coli K-12 BW25113 glmU::SPA-kan
OMP_ST:71127_!_Escherichia coli K-12 BW25113 ubiB::SPA-kan
OMP_ST:71128_!_Escherichia coli K-12 BW25113 murI::SPA-kan
