,Annotation,accuracy,precision,sensitivity,specificity
216,ECK120010954,0.998994974874,,0.0,1.0
218,ECK120016220,0.998994974874,,0.0,1.0
221,ECK120017000,0.998994974874,,0.0,1.0
222,ECK120020448,0.998994974874,,0.0,1.0
223,ECK120026522,0.998994974874,,0.0,1.0
225,ECK120026591,0.998994974874,,0.0,1.0
226,ECK120026593,0.998994974874,,0.0,1.0
230,ECK120026769,0.998994974874,,0.0,1.0
232,ECK120026793,0.998994974874,,0.0,1.0
234,ECK120026952,0.998994974874,,0.0,1.0
235,ECK120027019,0.998994974874,,0.0,1.0
236,ECK120027206,0.998994974874,,0.0,1.0
239,ECK120027252,0.998994974874,,0.0,1.0
240,ECK120027323,0.998994974874,,0.0,1.0
241,ECK120027383,0.998994974874,,0.0,1.0
242,ECK120027475,0.998994974874,,0.0,1.0
243,ECK120027543,0.998994974874,,0.0,1.0
246,ECK120027605,0.998994974874,,0.0,1.0
248,ECK120027728,0.998994974874,,0.0,1.0
249,ECK120027745,0.998994974874,,0.0,1.0
250,ECK120027750,0.998994974874,,0.0,1.0
251,ECK120027837,0.998994974874,,0.0,1.0
252,ECK120029970,0.998994974874,,0.0,1.0
255,ECK120030805,0.998994974874,,0.0,1.0
258,ECK120033561,0.998994974874,,0.0,1.0
259,ECK120033596,0.998994974874,,0.0,1.0
260,ECK120033597,0.998994974874,,0.0,1.0
261,ECK120033598,0.998994974874,,0.0,1.0
263,ECK120033601,0.998994974874,,0.0,1.0
264,ECK120033604,0.998994974874,,0.0,1.0
265,ECK120033605,0.998994974874,,0.0,1.0
266,ECK120033757,0.998994974874,,0.0,1.0
267,ECK120034120,0.998994974874,,0.0,1.0
268,ECK120034147,0.998994974874,,0.0,1.0
273,ECK120035083,0.998994974874,,0.0,1.0
275,ECK125134708,0.998994974874,,0.0,1.0
276,ECK125135009,0.998994974874,,0.0,1.0
277,ECK125135472,0.998994974874,,0.0,1.0
